symbol	chrom	start	length	strand	score	exons
TMCC1	chr3	129647791	245785	-	14	0,4004,3172,136,15226,935,16912,556,35231,153,70207,216,33263,706,4265,53,6071,163,41248,254,12619,238,74,83
PDZRN3	chr3	73382429	242492	-	30	0,2501,738,117,2182,102,1746,63,1139,99,9805,88,3138,248,29243,358,40458,178,86818,228,7472,365,32838,108,6136,87,15418,819
UNC13A	chr19	17601327	86872	-	29	0,5027,3585,160,1663,93,5846,148,571,81,404,57,1730,30,1109,39,2952,130,1680,153,723,89,265,78,1299,84,821,144,365,97,2031,127,199,86,2830,134,2925,135,218,90,314,69,602,151,731,164,1288,116,2713,170,126,142,1153,228,938,220,261,77,519,80,3043,47,2596,109,500,516,1663,208,5262,36,3082,55,1412,74,1362,124,2701,118,2161,100,1255,30,12136,22
MYO16	chr13	108596151	611856	+	21	0,88,32982,651,36013,264,46511,71,14708,144,58051,109,7772,125,13038,126,13532,76,2712,154,21064,151,10949,111,10623,66,16816,128,5185,106,9538,118,11869,148,47537,112,3739,118,767,72,2265,142,27473,73,16448,153,10661,201,27004,76,5308,176,2570,81,263,206,45189,103,19482,97,4645,247,1923,269,12713,1113,23524,159,14482,92,26975,1399
KDM1A	chr1	23019447	64244	+	298	0,500,10521,166,13792,60,5900,134,3240,79,1229,93,770,107,1445,82,1507,95,6892,12,2467,143,379,91,2073,135,764,74,1076,130,3824,133,1629,188,375,115,1778,128,646,147,812,513
RBM34	chr1	235131182	30434	-	34	0,815,3654,119,263,40,1803,64,150,84,10229,44,4258,60,2115,232,5398,557,106,443
FOXC2	chr16	86566828	2899	+	131	0,2899
KDM4B	chr19	4969112	184485	+	60	0,118,47026,83,16526,166,6804,176,1125,115,6224,194,23340,50,6307,104,4896,138,28117,197,8834,200,11223,470,341,121,1875,179,1277,223,1700,77,282,56,285,109,5896,186,95,165,370,120,5455,93,884,2263
MAST3	chr19	18097792	53897	+	18	0,39,9755,32,14066,89,76,73,750,79,465,158,205,76,283,210,116,102,275,133,3625,59,407,86,1542,209,1206,139,2531,133,105,166,757,102,1397,123,1653,110,2757,134,1747,245,458,228,309,227,513,123,1015,137,425,182,1566,2499
USP33	chr1	77695988	63891	-	45	0,1486,388,69,3437,103,10181,203,1344,82,1332,170,958,127,1998,181,548,46,2530,34,625,95,98,173,1134,113,2178,141,2532,418,1147,79,679,114,3615,70,1639,103,3106,153,1459,63,436,54,187,132,3672,179,14043,237
DOP1A	chr6	83067665	100806	+	11	0,114,28951,93,101,191,3589,182,8023,171,1044,190,3008,99,5466,100,760,110,825,109,1138,121,812,120,1722,115,346,30,304,234,3153,622,614,275,1778,153,1858,101,1331,260,1294,1990,837,112,109,183,1517,126,3477,135,1577,56,1467,105,2729,67,223,145,260,80,1143,110,273,150,136,62,1709,153,1078,137,1248,56,1173,165,2829,130,1740,60,3142,610
SAMD4A	chr14	54567611	225704	+	19	0,501,133949,519,34443,264,11527,110,2526,87,3250,110,5263,334,3960,86,5563,119,4711,202,1278,127,7799,108,89,84,4295,4400
PHLPP2	chr16	71644925	79776	-	57	0,5119,2745,232,2218,195,1136,111,1551,131,289,163,5083,201,3078,156,1941,96,2891,61,4124,203,2105,231,403,147,2215,155,2570,126,5917,191,11888,134,11780,723,319,287,8488,373
ZNF292	chr6	87155548	110395	+	17	0,211,59238,145,760,155,241,79,2218,136,14593,203,9947,137,1891,142,9005,11294
PDZD2	chr5	31639409	471523	+	30	0,28,159451,836,183430,502,11919,143,4420,133,10058,153,26748,112,11196,146,3926,120,1038,115,3771,74,149,226,1135,118,1645,133,8434,82,1733,35,742,157,1514,812,2818,145,9524,4045,1731,118,4254,102,983,271,2470,135,6729,2964
WDTC1	chr1	27234515	74118	+	28	0,436,26004,147,2049,84,19003,47,1052,112,4224,188,4353,183,1624,95,397,116,1696,76,646,109,781,174,3114,236,2159,175,1205,193,992,2448
XPO7	chr8	21919668	86917	+	38	0,120,47068,147,2479,94,567,167,1565,93,2701,105,1581,166,1248,74,2240,120,1527,147,762,173,1833,194,746,106,1449,136,507,74,865,111,169,81,1260,64,403,109,948,107,2388,89,1040,108,3155,83,253,215,230,139,2437,161,946,99,585,128,964,1591
FOXE1	chr9	97853254	3461	+	104	0,3461
MYT1L	chr2	1789112	542201	-	31	0,3352,9225,110,7276,92,29981,222,1389,84,10797,63,34835,69,880,122,1631,237,2559,251,10792,215,6945,108,1672,91,5094,135,4946,978,19718,353,35830,63,293,34,168,55,17413,157,56630,146,118748,117,111415,100,39667,519,1346,175,4756,347
MON2	chr12	62466816	130767	+	28	0,502,3382,78,13391,64,9681,128,973,132,3771,130,1734,98,692,126,6587,195,16034,125,444,137,728,154,6335,233,2174,82,598,185,1441,113,338,105,389,81,75,74,89,91,4591,102,1699,111,1888,176,2595,163,3050,294,2819,199,4298,623,4123,144,633,18,290,129,4941,191,6862,61,1791,124,4873,208,2572,83,699,61,3669,4998
PDXDC1	chr16	14974734	164676	+	32	0,486,9298,140,13094,74,513,66,3370,81,2330,147,2060,190,2195,69,833,79,6369,85,906,49,152,102,1417,126,3738,51,3888,64,2171,925,148,106,1678,172,954,119,298,122,886,93,78,97,895,105,462,2315,100548,532
TNIK	chr3	171058413	401995	-	46	0,5551,2222,140,249,160,2112,150,2225,101,8194,135,2598,144,1760,171,792,112,2112,165,6332,130,7480,185,5549,24,858,98,2551,164,12718,107,2209,240,2562,165,9312,189,1090,87,842,111,16950,205,3605,67,5758,176,7981,79,1995,55,11321,131,1864,91,3737,111,16480,126,16923,57,118708,289,22401,66,90321,402
KIF21B	chr1	200969385	54315	-	24	0,4809,519,200,585,171,1106,118,318,165,2158,181,1244,137,1959,39,1764,114,1871,75,77,206,1094,58,139,52,221,166,1010,102,94,195,243,148,193,233,507,69,556,108,3806,200,1988,192,773,118,416,82,425,219,108,64,1380,190,1235,196,558,116,310,168,374,135,102,150,3074,183,314,223,13854,358
PDS5B	chr13	32586426	191594	+	59	0,167,62160,127,2923,204,6231,87,108,98,622,127,8483,81,5371,141,2487,116,2875,95,4948,146,3110,152,1170,114,5653,82,2549,49,2827,140,1453,116,5495,106,2906,161,21994,124,2947,159,5749,69,1442,137,3249,124,7231,205,2305,115,2130,133,314,120,974,63,884,146,3768,106,5526,440,93,108,2427,136,1692,3004
FNBP1	chr9	129887186	156008	-	48	0,3360,4716,734,3968,137,324,122,2321,133,5888,110,6966,15,7863,183,933,198,2037,147,2225,129,27664,105,1026,63,19911,148,705,57,15468,116,47993,243
SMG1	chr16	18804852	121552	-	62	0,4794,2114,107,80,180,3047,107,158,212,650,228,761,180,2031,153,8376,138,1117,470,170,190,103,151,2570,227,1037,235,453,273,768,280,147,173,720,191,570,219,124,110,84,139,1008,249,1618,230,413,247,2974,223,1801,155,208,218,1183,162,570,178,110,231,1599,139,112,145,1120,285,788,249,3265,121,731,160,374,148,963,110,2873,202,150,143,2476,155,1414,165,168,197,384,200,550,141,615,102,89,88,475,119,701,162,148,131,3499,270,737,102,2262,225,2445,174,1731,98,922,73,378,126,3705,214,1277,59,1296,137,3697,156,585,164,28993,455
FOXM1	chr12	2857680	19475	-	392	0,1983,1635,114,2907,176,187,73,599,45,993,129,2041,192,3341,152,1729,549,2394,236
ZHX3	chr20	41178448	121651	-	26	0,6753,16855,3010,63923,94,30882,134
ENDOD1	chr11	95089809	42842	+	19	0,418,38149,4275
ZSWIM8	chr10	73785623	16175	+	21	0,463,2583,154,272,95,176,173,177,108,131,82,134,121,682,202,147,176,359,994,735,132,145,180,102,184,210,99,899,125,1110,241,98,159,105,229,175,290,159,224,548,489,520,184,101,177,167,120,257,179,120,483
NCOA6	chr20	34714773	110876	-	75	0,592,11893,149,5151,37,4094,69,3604,2979,3465,122,2474,1117,4202,147,2351,885,700,129,9530,123,7706,156,5672,284,10045,114,16889,70,9779,2338,3832,178
NMNAT2	chr1	183248236	170263	-	37	0,4507,8258,68,132,102,17249,77,5365,45,670,81,1871,127,3339,79,2583,68,847,89,10876,205,113308,317
CLUAP1	chr16	3500930	38121	+	23	0,159,3630,112,1499,85,1873,180,1425,76,2413,96,3029,84,4311,134,3121,142,3112,73,4083,108,2110,56,257,57,2966,2930
FOXD2	chr1	47436016	4675	+	11	0,4675
ZNF609	chr15	64499419	186648	+	24	0,747,122660,226,47293,88,3482,2341,1859,367,1702,176,285,217,446,79,304,4376
TBC1D9B	chr5	179862070	45827	-	18	0,2058,1125,107,477,51,1556,51,282,72,1919,66,420,241,966,69,1361,99,128,130,1653,286,732,118,2271,215,523,151,430,162,8313,210,3066,208,1622,259,918,229,4574,119,5394,111,2891,194
GGA2	chr16	23463541	46953	-	70	0,4159,1185,111,999,170,4738,158,3306,134,381,29,853,123,757,126,2152,82,3010,138,557,81,1815,104,2967,124,1559,99,844,76,1315,85,14542,174
WAPL	chr10	86435255	86529	-	55	0,2353,311,96,5259,89,2878,208,5517,165,1088,116,320,176,5157,77,1333,98,679,112,5991,228,3485,112,1104,137,267,153,1113,96,23227,119,2398,1026,16827,521,3273,420
SETX	chr9	132261355	93631	-	74	0,3630,4417,87,125,88,2007,99,3447,165,1639,93,917,188,3209,108,1689,150,3009,72,1741,116,198,102,7220,157,858,168,1025,233,2317,174,10953,100,14467,4176,552,88,137,172,3159,120,1568,220,6174,110,3461,211,2780,184,4213,107,895,206,60,70
EMC1	chr1	19215663	35896	-	31	0,3819,86,130,1065,85,1775,211,561,174,3743,138,3393,120,297,162,1201,150,162,200,1994,123,1889,97,778,123,655,63,373,72,515,168,311,150,569,127,1202,129,1140,94,242,66,890,125,6384,145
CAND2	chr3	12796671	38143	+	26	0,117,6699,144,3674,155,749,124,1725,266,2665,106,150,143,1752,293,433,142,365,1503,2209,96,5288,170,1800,165,3860,108,2182,1060
SETD1B	chr12	121804723	27933	+	29	0,188,206,99,618,271,2102,113,1282,1233,3270,825,2102,262,75,335,94,106,1499,492,2594,1260,1450,167,2152,132,84,120,78,138,1995,2591
FOXS1	chr20	31844299	1318	-	13	0,1318
CMTR1	chr6	37433130	48378	+	22	0,247,2246,139,8236,152,2140,159,3801,93,1462,72,1169,95,98,73,5299,199,755,119,1864,97,324,133,726,180,8012,57,769,58,514,69,982,132,922,123,674,92,713,69,1397,48,769,113,625,109,757,1496
ERP44	chr9	99979180	119872	-	51	0,3533,2253,103,21436,142,930,112,8632,117,1817,58,2302,116,1310,185,30190,116,5287,40,2240,73,38611,269
HECW1	chr7	43112598	450741	+	29	0,339,1219,235,129483,58,67830,325,8547,108,40143,95,35833,76,10672,170,30271,143,4383,101,1588,1353,5257,102,5367,151,7212,140,2647,122,2351,186,10504,135,12330,106,903,97,7518,84,430,110,5814,121,760,114,837,153,32041,99,607,130,8446,147,1630,115,2255,199,7024,1525
UHRF1BP1L	chr12	100037084	105780	-	11	0,671,1840,194,7740,109,304,254,1971,151,760,143,6349,176,282,1505,316,194,9864,262,2502,142,10202,119,1341,183,1616,84,2556,181,6571,171,1527,141,846,190,4224,92,1055,39,4434,163,34043,273
SWAP70	chr11	9664076	88915	+	31	0,202,29867,141,19179,174,11018,228,3167,147,1143,109,3077,182,5502,108,1860,167,7510,199,1030,97,680,3128
RRP1B	chr21	43659550	36529	+	71	0,244,10089,83,2341,58,1504,86,680,62,336,130,1108,65,396,182,6364,95,1179,98,1119,20,1014,132,580,725,2047,153,998,64,1687,2890
MYCBP2	chr13	77044656	282386	-	79	0,837,5503,166,648,108,3639,210,1218,108,1124,189,1116,104,1542,133,360,129,805,102,1917,120,1257,97,1492,284,700,267,1799,81,6039,99,298,240,1436,66,2537,225,185,157,1038,161,4291,150,1198,200,1074,158,2901,168,2025,245,709,170,888,1644,22359,123,3840,133,849,225,12653,141,710,117,682,98,3501,116,1601,56,4516,216,5108,145,1734,173,3796,50,2498,88,731,119,937,226,1873,219,967,101,1777,143,2676,179,2007,132,1119,207,2172,192,1382,222,3180,275,493,193,2887,97,1204,84,1343,135,2339,92,11011,128,89,126,1054,173,4341,154,635,205,5679,118,6493,82,902,120,7601,108,9795,102,645,146,7199,205,6315,159,2598,165,578,205,677,77,1521,139,139,74,3838,97,2054,72,232,243,2933,197,5089,154,9249,216,8222,76,29799,569
VWA8	chr13	41566824	394261	-	25	0,1481,2162,239,5033,99,11673,159,2969,126,14402,109,6299,157,3243,109,55861,202,4067,82,9750,196,4111,155,657,110,1044,126,428,65,923,111,6098,200,2121,139,1772,109,15925,406,1627,206,5618,120,2228,136,2402,76,28972,77,16780,72,5738,107,3535,107,23681,116,5357,78,2442,169,11142,114,2728,161,32204,78,88,135,2309,132,14909,105,2428,109,752,50,366,165,4058,168,15998,111,4341,131,37767,78,10839,233
FOXO1	chr13	40555663	110934	-	525	0,3371,474,1352,104722,1015
AVL9	chr7	32495425	93316	+	12	0,377,47338,121,1432,86,4067,72,2415,90,805,67,1431,41,790,39,3962,70,300,536,10555,135,3044,220,2536,118,4146,54,529,89,2901,4950
KDM4C	chr9	6720862	454786	+	60	0,135,36352,854,34768,161,12466,176,8856,519,34357,194,30311,50,7898,104,5031,138,87692,194,723,924,1400,239,1920,342,3749,109,21173,182,1908,620,1445,77,30932,56,2174,109,27233,831,26420,186,1531,99,22565,171,37001,120,4440,93,4662,1096
PPRC1	chr10	102132993	17340	+	29	0,228,4628,189,580,147,113,102,119,2905,1040,54,1151,58,712,71,1581,721,979,150,106,67,122,122,239,152,596,408
ERC1	chr12	991207	504726	+	67	0,280,36260,825,54591,417,21169,75,5367,156,1867,84,3567,168,25586,168,38752,138,1247,141,1215,141,6437,194,14448,12,32256,136,26129,132,26686,161,81820,145,36171,99,2141,65,34108,189,36092,56,9194,5841
EXPH5	chr11	108505430	88308	-	23	0,9445,3359,139,9762,49,9778,245,816,163,2465,161,10207,186,41212,230,75,16
TRIM35	chr8	27284885	26434	-	19	0,3242,1034,119,875,23,3901,231,4153,96,12241,519
PEG10	chr7	94656324	13370	+	62	0,267,6742,6361
FOXO3	chr6	108559822	124946	+	549	0,193,850,964,101625,1435,14937,4942
ZNF423	chr16	49487530	370389	-	36	0,3774,32319,116,1623,132,100675,85,9405,3215,25216,141,66539,201,58515,60,33123,69,35002,179
ZC3H13	chr13	45954464	98314	-	38	0,2833,2185,164,2532,1864,1237,153,2071,525,719,1224,390,104,4817,556,3974,192,5292,465,3025,311,14041,198,7011,158,909,140,8894,109,21606,112,2679,110,326,126,6415,58,414,375
ARHGAP26	chr5	142770376	458635	+	39	0,539,304,156,102024,96,1614,62,4202,72,5852,102,8838,111,7586,105,1500,130,4034,101,5394,95,18753,79,81954,37,23079,66,4554,75,12548,88,1501,59,1555,106,63240,160,12819,139,13125,151,59816,276,6523,92,8269,6654
TTLL5	chr14	75661207	293875	+	28	0,180,1667,169,6192,107,12022,83,1922,107,6535,131,8865,83,7747,70,535,85,10153,102,1772,92,769,108,11634,82,1569,62,1144,95,9805,114,281,92,7311,63,11659,158,1289,307,5365,121,3629,147,1116,104,2724,128,2784,87,573,384,9385,185,26906,155,43505,196,18822,218,19239,83,52199,659
SIPA1L3	chr19	37907220	301152	+	29	0,138,121730,68,52099,1844,5621,131,11110,189,901,175,5310,104,3586,158,8921,577,10615,275,10411,252,1137,138,10129,128,9285,119,2107,428,17612,222,9404,166,1226,244,4608,144,3329,136,2129,82,1888,2276
KIF1B	chr1	10210569	171034	+	94	0,309,737,123,19025,234,1252,185,23812,77,2169,180,3232,66,5409,179,593,112,3238,78,661,66,707,18,2396,76,817,79,1586,143,968,42,3183,212,8548,80,885,76,2963,80,494,107,815,84,231,181,96,73,5916,5435,11445,94,1572,149,2026,179,695,138,1215,249,8160,119,2018,86,331,130,167,163,2235,91,2190,119,1063,56,2557,109,1807,67,821,85,3897,106,8192,115,648,134,1457,62,1755,146,163,240,2818,72,2602,122,3053,150,388,193,208,119,1171,5059
IQSEC2	chrX	53232875	88449	-	40	0,2309,598,50,489,174,1649,162,888,100,2489,126,1422,140,3497,167,978,123,484,162,1396,896,3355,402,868,262,10262,741,12499,96,1836,119,10280,30,28492,908
CDK19	chr6	110609977	205908	-	32	0,4689,6437,267,717,79,648,98,377,73,3413,70,156,144,4884,132,6487,58,28727,141,2856,111,75584,76,27674,62,41071,308,254,62,175,78
SARM1	chr17	28371661	29377	+	30	0,841,8700,619,2535,213,269,92,109,236,2898,103,73,190,7365,122,130,4882
ZBTB43	chr9	126805005	33203	+	16	0,127,3660,123,23571,5722
AKR1B1	chr7	134442349	16890	-	171	0,421,2467,83,1977,764,325,107,503,123,600,78,988,117,683,168,7243,243
FOXO3B	chr17	18665922	7259	-	6	0,7259
MCF2L2	chr3	183178003	250266	-	10	0,1500,73,116,378,89,12839,98,2125,34,10620,79,167,93,1393,216,8145,126,3761,69,3421,93,659,93,4106,70,1299,116,1169,67,45854,86,12162,101,6079,178,1498,192,2837,192,9519,120,1079,115,618,125,6295,150,5017,117,15448,120,2620,91,37666,115,10284,84,38122,368
TBC1D2B	chr15	77994984	82668	-	15	0,3371,3263,122,1564,186,5506,118,3708,495,3228,194,1107,111,6198,384,719,239,4509,164,14729,169,8965,154,23105,360
FSTL4	chr5	133196459	416073	-	11	0,3338,2135,110,8148,108,6930,150,3369,119,3323,27,933,135,373,162,7597,121,15872,167,63077,124,3681,194,84085,249,166199,34,36638,136,8331,208
MRPS27	chr5	72219408	100849	-	45	0,1740,2534,168,2206,143,2066,103,4074,116,1560,79,3816,115,3518,42,53842,59,2042,71,16378,78,5990,109
RAP1GAP2	chr17	2776920	260821	+	16	0,27,19490,134,3943,36,104733,85,52390,36,4875,45,715,33,393,213,1471,104,14643,79,829,54,3734,84,6230,101,3939,130,2754,156,6992,72,514,87,1969,135,9915,138,2278,119,5412,114,228,115,479,127,3851,77,1412,39,942,4350
DDN	chr12	48995149	4156	-	13	0,3517,412,227
SPART	chr13	36301637	68543	-	66	0,2995,7512,91,83,159,1749,195,12153,124,2663,156,1881,198,3424,812,454,72,9866,285,72,216,23291,92
TNRC6B	chr22	40044816	290992	+	57	0,182,72056,74,8643,91,30252,68,21742,216,67874,88,5076,22,10631,342,2514,2349,3085,159,3144,176,3476,75,847,46,1950,149,975,171,4355,126,14684,132,323,96,144,184,7178,138,2167,177,1511,147,250,96,2285,225,434,71,5077,140,1624,12955
CUL9	chr6	43182183	42404	+	35	0,66,2052,604,550,155,344,501,504,136,150,194,273,406,404,193,4285,208,2860,197,379,218,1746,247,410,106,557,228,279,91,136,172,1881,106,287,96,212,176,261,134,372,180,208,110,75,183,147,161,583,229,85,190,6638,146,143,130,145,200,1166,248,831,346,3955,141,147,165,246,164,363,94,537,75,140,111,137,118,367,134,697,74,81,338
NFASC	chr1	204828651	194171	+	56	0,131,91849,109,23485,181,6150,18,1436,106,2071,197,444,123,2704,171,4281,51,6090,112,437,185,1633,132,2528,144,759,112,366,167,447,148,1252,476,534,45,1242,102,292,198,810,71,1357,223,2006,116,1767,205,1303,123,1092,174,2485,15,5863,237,3763,117,1309,153,6808,132,3108,70,3441,6515
TOGARAM1	chr14	44962189	112242	+	9	0,2278,31278,157,3460,135,4563,306,1641,260,2645,233,2829,101,10834,64,2809,90,1426,176,701,154,3893,154,11309,106,843,236,1674,159,5732,127,1868,119,12028,190,1656,220,3068,87,1497,1136
NPIPB3	chr16	21402128	23250	-	10	0,709,126,18,126,1128,1,143,5,122,3,784,1360,36,109,61,4074,196,112,100,3615,129,9893,158,163,79
TAB2	chr6	149217923	193690	+	156	0,161,538,154,11155,228,87767,89,284,90,17169,93,7033,149,27075,191,7918,1501,18085,161,204,94,1041,81,10392,2037
HIC2	chr22	21417403	34058	+	25	0,157,25198,99,2064,6540
FLG	chr1	152302174	23029	-	332	0,12573,571,159,9711,15
ATP10B	chr5	160563119	289093	-	8	0,2781,3595,188,19908,105,1362,81,7630,201,3606,126,1262,77,2723,322,5654,185,2912,127,1899,110,2373,604,1443,192,9543,239,864,1375,1575,128,4151,132,3545,107,4926,86,21206,205,14167,557,687,195,1526,295,665,184,27965,126,68524,245,66137,272
CLASP2	chr3	33496245	222009	-	76	0,2472,2934,117,8789,207,5258,129,829,194,18058,229,3327,154,4490,107,1158,144,6410,144,7729,51,131,79,1422,164,9752,67,2319,245,1118,24,1672,107,926,63,4556,108,2821,171,7474,102,2454,18,1742,24,6217,174,1028,56,2381,168,625,78,1105,60,3374,71,7531,136,2396,146,4707,93,5211,83,12382,147,14070,706,3765,71,20843,98,2603,76,1141,92,1460,104,6922,79,20874,447
CAMTA2	chr17	4967991	19674	-	16	0,828,87,75,168,188,162,21,109,72,200,184,254,197,1695,305,232,223,183,79,331,185,615,116,2557,135,1311,127,1053,938,603,135,318,154,257,72,596,136,83,68,2836,104,208,95,667,417,222,73
POGZ	chr1	151402723	56742	-	49	0,3741,142,25,279,113,211,57,808,141,168,173,112,135,2796,147,524,101,11000,155,397,338,668,107,2761,219,81,291,1189,109,954,176,10086,159,994,125,16946,314
COLGALT2	chr1	183929661	108109	-	18	0,628,5542,3206,1543,207,3408,128,1108,133,5442,107,3648,77,9062,120,5248,205,4142,135,1346,118,3195,111,58574,676
PLXND1	chr3	129555212	51527	-	34	0,1216,188,75,391,141,1204,148,1044,164,546,105,254,35,922,64,90,104,883,157,150,147,2099,199,348,131,509,105,860,113,93,108,2037,115,828,150,104,264,205,91,77,168,764,140,93,100,652,152,590,155,978,94,203,90,2473,105,5133,103,455,109,151,178,1389,130,90,101,315,132,2631,177,15801,1411
FLI1	chr11	128686534	126733	+	155	0,167,7214,361,53960,54,9824,212,6324,171,3296,155,4509,204,8972,66,23342,66,1748,60,1917,48,1254,2809
ATG2A	chr11	64894531	22719	-	19	0,678,80,153,1019,155,131,122,542,83,176,73,95,136,111,85,90,102,273,207,1651,136,254,209,869,215,83,127,129,165,607,77,225,71,1902,93,86,107,264,81,140,200,131,151,439,185,85,140,83,143,1100,160,120,97,313,244,115,156,420,93,98,148,83,238,566,141,102,165,77,97,614,99,129,136,419,103,157,153,104,163,2464,286
GPATCH8	chr17	44395276	108326	-	36	0,6177,4467,131,18297,144,10572,87,1326,374,27620,73,2552,106,6522,35,1069,75,28422,277
RAD54L2	chr3	51538682	129978	+	17	0,233,1147,48,1478,62,48716,193,36993,202,1579,140,798,117,316,227,2645,183,142,134,1557,197,1292,422,640,178,1097,252,210,119,1749,119,2007,100,1049,206,361,173,521,197,9489,200,1409,90,2356,93,2307,6235
PHF8	chrX	53936679	108457	-	59	0,2567,933,337,2098,788,731,110,18600,96,21974,314,517,40,31,134,1128,86,602,179,4791,104,761,303,1789,90,4087,92,2193,107,333,88,8439,163,3092,187,2031,142,924,161,4437,109,390,86,19787,190,290,84,567,413,700,262
KDM6B	chr17	7839905	14885	+	85	0,119,4876,120,293,143,93,142,180,99,107,220,102,93,86,162,78,198,88,348,93,2183,92,127,124,106,843,206,103,65,83,72,98,149,154,115,83,188,158,142,363,127,83,1581
EPB41L3	chr18	5392275	236716	-	98	0,1203,1198,117,273,81,461,99,493,132,725,369,594,123,8633,192,732,36,2829,54,5198,561,3332,221,3446,176,708,98,3953,153,5003,88,346,219,3913,76,5727,43,1259,105,32996,198,10562,194,51145,217,3356,427,68000,89,1922,73,14498,70
SMC5	chr9	70258961	95912	+	37	0,302,5040,142,3477,53,9334,163,1018,135,2133,141,1522,162,3616,72,11694,256,1824,155,5046,114,9381,95,609,133,2935,174,106,170,4519,124,414,123,20000,126,2335,45,416,96,451,105,201,120,2075,180,82,96,1719,2683
N4BP3	chr5	178113554	12552	+	9	0,217,5782,360,264,522,398,255,121,4633
MAST2	chr1	45803606	232518	+	44	0,466,20360,148,4858,143,34766,792,17224,32,49827,51,27112,92,38246,76,3159,21,1825,79,3357,155,1900,76,2358,210,8656,102,2252,133,827,62,261,86,453,209,1696,139,1915,133,904,166,532,102,263,123,175,110,368,155,245,284,100,195,592,227,191,123,1083,137,134,194,271,1587
FLII	chr17	18244816	14100	-	72	0,456,81,66,135,106,83,107,83,129,99,61,85,155,131,235,84,140,116,189,299,192,80,105,516,172,78,84,243,75,124,83,1429,180,247,213,202,137,182,148,325,85,744,158,85,176,359,104,338,162,86,86,328,81,1262,72,311,111,1427,110,71,289
ZZEF1	chr17	4004444	138515	-	13	0,2526,1912,72,649,154,3691,166,475,99,158,169,1807,144,904,360,105,136,1697,101,1359,192,1388,120,2090,200,7007,133,569,175,1012,278,8136,140,1655,151,5333,152,921,263,927,166,1920,139,2020,130,1648,162,1015,120,3462,165,1443,469,1617,94,622,80,3441,241,1683,149,1393,202,745,82,84,167,1207,123,108,122,893,160,3333,115,946,68,3165,134,682,170,778,101,1143,216,1825,112,5000,149,629,92,5616,99,2217,179,881,117,3843,211,2745,200,1490,172,2501,195,6740,145,18490,418
ANKLE2	chr12	132725666	36222	-	31	0,1777,588,132,1515,592,4114,191,830,107,1380,173,4353,67,1668,123,4555,189,117,194,2311,207,3825,459,6484,271
DCUN1D4	chr4	51842999	73838	+	21	0,268,311,164,4462,163,15069,71,162,40,10561,115,3377,92,8713,71,5121,92,7418,109,11691,105,2115,103,136,3309
LRCH1	chr13	46553160	199880	+	30	0,543,96497,145,18684,127,12584,106,4058,137,1810,128,1153,64,3339,106,2251,125,4318,68,1717,87,3860,90,110,37,6486,54,680,73,2962,105,7556,110,5516,138,4936,78,7643,3260,5638,2501
ZC3H3	chr8	143437654	103796	-	19	0,433,1953,323,572,185,24596,132,2360,70,103,159,76,43,6738,188,32160,154,28357,197,1549,1318,2055,75
SSPO	chr7	149776041	57923	+	17	0,50,254,183,406,83,166,180,245,245,98,94,735,159,88,80,426,153,273,172,106,241,300,145,1258,118,547,176,84,228,176,166,224,235,692,54,2,133,114,95,258,257,348,135,1145,197,101,128,67,110,349,150,96,94,91,170,243,234,202,222,460,237,782,92,81,232,110,153,96,141,92,183,97,151,580,154,102,55,1173,105,312,219,109,128,704,145,80,151,525,73,723,58,1708,171,282,144,1306,219,84,165,742,180,100,123,125,130,83,126,182,92,1323,174,309,165,676,95,4,158,1266,47,179,171,387,83,2,46,216,146,1380,95,655,53,193,207,148,171,124,80,989,170,534,47,91,192,110,171,230,201,313,97,104,200,282,167,1079,131,152,224,331,42,154,156,498,210,201,168,765,132,94,247,274,153,75,47,190,336,314,168,672,131,241,125,237,47,261,279,292,129,4,27,155,2,1,109,408,139,136,203,172,128,101,143,91,47,811,215,652,96,202,61,2138,131,1502,156,888,153
NACAD	chr7	45080436	8458	-	8	0,87,116,123,113,147,94,147,337,72,82,113,240,4005,2715,67
FCHO1	chr19	17747717	40851	+	21	0,97,3662,101,2739,45,230,90,436,74,7570,92,1521,75,2219,142,3614,153,214,105,1560,99,89,97,1497,45,110,85,577,25,375,58,469,179,85,25,363,52,1450,92,380,276,2346,113,108,88,172,109,1196,156,930,133,489,200,1649,56,1052,165,423,299
MLANA	chr9	5890908	18914	+	60	0,28,1513,102,5005,97,9231,114,1641,1183
FRMD4B	chr3	69168782	217522	-	15	0,3199,4542,133,4242,812,887,120,5052,148,1978,57,3695,226,1148,120,89,134,890,142,503,139,1659,77,17488,87,1972,58,3478,66,2683,84,24535,23,794,57,37652,85,14506,93,8827,95,2094,66,72310,477
GRAMD4	chr22	46577087	105669	+	12	0,203,43095,180,6185,211,10878,121,20226,121,3073,62,1597,133,665,26,162,92,1497,92,1118,49,1222,72,521,44,66,110,3934,155,672,145,842,94,717,85,1047,69,478,2639,2625,346
CIC	chr19	42268536	27260	+	60	0,58,3179,2804,10087,107,1999,150,85,235,79,130,95,183,82,166,912,203,90,226,441,104,281,1234,91,188,340,122,92,167,99,294,96,326,310,245,98,155,83,132,299,132,88,973
NCDN	chr1	35557791	8988	+	37	0,432,883,141,1078,969,1097,242,568,225,340,143,1317,1553
CLCC1	chr1	108929507	33992	-	23	0,2994,2123,318,2134,342,2217,147,262,98,1262,94,1976,141,220,222,3553,108,2101,102,387,140,12912,139
